"Series Description","Market yield on U.S. Treasury securities at 1-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 3-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 6-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 1-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 2-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 3-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 5-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 7-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 20-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 30-year   constant maturity, quoted on investment basis"
"Unit:","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year"
"Multiplier:","1","1","1","1","1","1","1","1","1","1","1"
"Currency:","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unique Identifier: ","H15/H15/RIFLGFCM01_N.B","H15/H15/RIFLGFCM03_N.B","H15/H15/RIFLGFCM06_N.B","H15/H15/RIFLGFCY01_N.B","H15/H15/RIFLGFCY02_N.B","H15/H15/RIFLGFCY03_N.B","H15/H15/RIFLGFCY05_N.B","H15/H15/RIFLGFCY07_N.B","H15/H15/RIFLGFCY10_N.B","H15/H15/RIFLGFCY20_N.B","H15/H15/RIFLGFCY30_N.B"
"Time Period","RIFLGFCM01_N.B","RIFLGFCM03_N.B","RIFLGFCM06_N.B","RIFLGFCY01_N.B","RIFLGFCY02_N.B","RIFLGFCY03_N.B","RIFLGFCY05_N.B","RIFLGFCY07_N.B","RIFLGFCY10_N.B","RIFLGFCY20_N.B","RIFLGFCY30_N.B"
2007-01-01,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007-01-02,4.79,5.07,5.11,5.00,4.80,4.71,4.68,4.68,4.68,4.87,4.79
2007-01-03,4.84,5.05,5.09,4.98,4.76,4.69,4.66,4.66,4.67,4.85,4.77
2007-01-04,4.80,5.04,5.07,4.95,4.71,4.63,4.61,4.61,4.62,4.81,4.72
2007-01-05,4.81,5.05,5.09,4.98,4.76,4.68,4.65,4.65,4.65,4.84,4.74
2007-01-08,4.87,5.08,5.13,5.01,4.78,4.70,4.66,4.66,4.66,4.84,4.74
2007-01-09,4.90,5.08,5.13,5.02,4.79,4.70,4.65,4.65,4.66,4.83,4.74
2007-01-10,4.94,5.09,5.13,5.02,4.81,4.72,4.68,4.68,4.69,4.87,4.77
2007-01-11,4.99,5.11,5.15,5.05,4.86,4.78,4.73,4.73,4.74,4.92,4.82
2007-01-12,4.98,5.09,5.15,5.06,4.88,4.81,4.76,4.76,4.77,4.96,4.86
2007-01-15,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007-01-16,5.00,5.11,5.16,5.06,4.86,4.79,4.74,4.74,4.75,4.94,4.85
2007-01-17,5.01,5.12,5.16,5.08,4.91,4.83,4.78,4.78,4.79,4.98,4.88
2007-01-18,4.97,5.12,5.16,5.07,4.89,4.80,4.75,4.75,4.75,4.94,4.85
2007-01-19,4.96,5.14,5.17,5.09,4.93,4.83,4.78,4.78,4.78,4.96,4.87
2007-01-22,4.98,5.13,5.18,5.09,4.91,4.82,4.77,4.76,4.76,4.94,4.84
2007-01-23,5.02,5.14,5.18,5.10,4.94,4.85,4.81,4.81,4.81,5.00,4.90
2007-01-24,4.99,5.13,5.17,5.09,4.93,4.85,4.81,4.81,4.81,5.00,4.91
2007-01-25,4.97,5.14,5.18,5.11,4.98,4.90,4.85,4.85,4.87,5.06,4.96
2007-01-26,4.94,5.13,5.18,5.12,4.99,4.91,4.87,4.87,4.88,5.07,4.98
2007-01-29,4.95,5.14,5.19,5.12,4.99,4.93,4.89,4.89,4.90,5.09,4.99
2007-01-30,4.99,5.13,5.18,5.11,4.98,4.90,4.86,4.86,4.88,5.07,4.98
2007-01-31,5.00,5.12,5.16,5.09,4.94,4.85,4.82,4.82,4.83,5.02,4.93
2007-02-01,4.99,5.13,5.16,5.09,4.96,4.88,4.84,4.84,4.84,5.02,4.93
2007-02-02,5.01,5.14,5.16,5.08,4.94,4.87,4.82,4.82,4.83,5.02,4.93
2007-02-05,5.06,5.15,5.16,5.08,4.92,4.84,4.80,4.80,4.81,5.00,4.91
2007-02-06,5.14,5.14,5.16,5.07,4.90,4.80,4.76,4.76,4.77,4.96,4.87
2007-02-07,5.15,5.15,5.16,5.06,4.87,4.77,4.74,4.73,4.74,4.94,4.86
2007-02-08,5.15,5.16,5.16,5.06,4.87,4.77,4.73,4.73,4.73,4.93,4.81
2007-02-09,5.15,5.15,5.17,5.08,4.92,4.82,4.78,4.78,4.79,4.98,4.87
2007-02-12,5.16,5.18,5.18,5.10,4.94,4.84,4.80,4.80,4.80,5.00,4.88
2007-02-13,5.24,5.17,5.17,5.10,4.95,4.85,4.81,4.81,4.82,5.02,4.90
2007-02-14,5.23,5.16,5.16,5.06,4.87,4.77,4.72,4.72,4.74,4.94,4.83
2007-02-15,5.23,5.17,5.15,5.04,4.83,4.73,4.68,4.69,4.70,4.91,4.81
2007-02-16,5.23,5.17,5.15,5.05,4.83,4.73,4.68,4.68,4.69,4.90,4.79
2007-02-19,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007-02-20,5.23,5.19,5.16,5.04,4.81,4.71,4.67,4.67,4.68,4.89,4.78
2007-02-21,5.27,5.18,5.16,5.05,4.82,4.74,4.68,4.68,4.69,4.90,4.79
2007-02-22,5.26,5.19,5.17,5.07,4.87,4.77,4.72,4.72,4.73,4.94,4.83
