Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,17.97,18.135,14.9175,15,15.6122222222222,15.1458333333333,15,15.0791666666667,15,15,15,14.8366666666667,..,..,..,..,..,..
Afghanistan,AFG,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,10.0468971030039,-3.58511111025937,12.5579601438018,17.5429289286094,11.3640937418183,-1.24150600982001,7.17438724753763,9.78449593859924,14.3516893380043,12.2525481629518,17.5839381624543,12.1411782956513,..,..,..,..,..,..
Afghanistan,AFG,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Lending interest rate (%),FR.INR.LEND,22.1025,19.6541666666667,15.3041666666667,14.2708333333333,11.7615218344487,13.075,12.9399428618515,14.0996227871662,13.0196427128802,12.6609351537225,12.8223298853561,12.4320985987679,10.8803465425902,9.8266043443155,7.9725,7.8775,6.73416666666667,6.22,5.9325,6.27583333333333,6.12083333333333,6.02166666666667,6.50666666666667,6.35166666666667
Albania,ALB,Real interest rate (%),FR.INR.RINR,15.5754116055596,15.2617073910542,11.2464777871879,8.62387425855812,8.34605448112112,9.4555054819425,10.2087615799994,9.30474143806301,8.55052487389148,10.0007474139424,7.97103659621924,9.88846223555399,9.73611207346728,9.51039749125922,6.32455753333484,7.27249242163997,7.41372325944537,4.70106853289222,4.39481296172994,4.95650401841986,5.38676975341908,2.48151251479627,-3.05767603602252,1.72025903681115
Albania,ALB,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,..,..,..,..,8.65738703548396,8.13171240346954,7.92991262699532,7.73182739633685,7.42400985630468,8.43098711693538,8.74722800678583,9.01864922404764,9.15081252889815,9.07841434175283,9.06900760368607,8.84649373877203,8.59552115400606,..
Algeria,DZA,Lending interest rate (%),FR.INR.LEND,10,9.5,8.58333333333333,8.125,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Algeria,DZA,Real interest rate (%),FR.INR.RINR,-10.3343779978102,1.37540693567021,7.1128285028754,-0.750361450141733,-3.09251853771772,-3.88174750073226,-2.51051997721676,0.844558435135192,-6.18312466407401,16.5976144700803,-6.53956357206119,-7.62022648880852,-0.00226526216750234,7.04435828690779,6.4559997998832,13.6683505549034,7.08263566994981,2.9179062804633,1.72874977214071,7.05471454833543,13.3398767225761,-6.85953485187731,-12.1137201359953,10.4952640197309
Algeria,DZA,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,..,..,..,7.70964610650411,7.7303223639416,7.52796080059819,7.9694831116376,7.93967862672234,7.93762814340674,9.01055609907524,9.87097594297719,9.77861563123437,9.94951991406034,9.3254821031312,9.65675711196326,9.17132294118008,8.43116330793206,..
American Samoa,ASM,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
